DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:33:39.101,13,-2.96949,MCU is reading properly,253,-12,G,67.32 Hz,4.12 Hz,0,401,124
Mon.May.02.2022 14:33:39.234,13,-2.93439,MCU is reading properly,253,-12,G,67.32 Hz,4.12 Hz,0,359,125
Mon.May.02.2022 14:33:39.234,13,-2.89925,MCU is reading properly,253,-12,G,46.79 Hz,4.12 Hz,0,359,125
Mon.May.02.2022 14:33:39.234,13,-2.8641,MCU is reading properly,253,-12,G,48.66 Hz,4.12 Hz,0,359,125
Mon.May.02.2022 14:33:39.234,13,-2.82901,MCU is reading properly,253,-12,G,48.48 Hz,4.12 Hz,0,359,125
Mon.May.02.2022 14:33:39.249,13,-2.79401,MCU is reading properly,253,-12,G,68.96 Hz,4.12 Hz,0,359,126
Mon.May.02.2022 14:33:39.249,13,-2.75915,MCU is reading properly,253,-12,G,65.28 Hz,4.12 Hz,0,359,126
Mon.May.02.2022 14:33:39.249,13,-2.72447,MCU is reading properly,253,-12,G,65.91 Hz,4.12 Hz,0,359,126
Mon.May.02.2022 14:33:39.249,13,-2.72447,MCU is reading properly,253,-12,G,65.80 Hz,4.12 Hz,0,359,126
Mon.May.02.2022 14:33:39.265,13,-2.69002,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,359,127
Mon.May.02.2022 14:33:39.265,13,-2.65585,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,359,127
Mon.May.02.2022 14:33:39.381,13,-2.65585,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,401,128
Mon.May.02.2022 14:33:39.382,13,-2.622,MCU is reading properly,253,-12,G,47.63 Hz,4.12 Hz,0,401,128
Mon.May.02.2022 14:33:39.382,13,-2.58851,MCU is reading properly,253,-12,G,49.34 Hz,4.12 Hz,0,401,128
Mon.May.02.2022 14:33:39.382,13,-2.55542,MCU is reading properly,253,-12,G,49.18 Hz,4.12 Hz,0,401,128
Mon.May.02.2022 14:33:39.398,13,-2.52278,MCU is reading properly,253,-12,G,49.19 Hz,4.12 Hz,0,401,129
Mon.May.02.2022 14:33:39.402,13,-2.49072,MCU is reading properly,253,-12,G,69.99 Hz,4.12 Hz,0,401,129
Mon.May.02.2022 14:33:39.402,13,-2.45918,MCU is reading properly,253,-12,G,66.14 Hz,4.12 Hz,0,401,129
Mon.May.02.2022 14:33:39.402,13,-2.4282,MCU is reading properly,253,-12,G,66.82 Hz,4.12 Hz,0,401,129
Mon.May.02.2022 14:33:39.402,13,-2.39774,MCU is reading properly,253,-12,G,66.69 Hz,4.12 Hz,0,401,129
Mon.May.02.2022 14:33:39.418,13,-2.368,MCU is reading properly,253,-12,G,66.72 Hz,4.12 Hz,0,401,130
Mon.May.02.2022 14:33:39.418,13,-2.33894,MCU is reading properly,253,-12,G,66.71 Hz,4.12 Hz,0,401,130
Mon.May.02.2022 14:33:39.534,13,-2.33894,MCU is reading properly,253,-12,G,66.71 Hz,3.55 Hz,0,323,131
Mon.May.02.2022 14:33:39.534,13,-2.31059,MCU is reading properly,253,-12,G,47.37 Hz,3.55 Hz,0,323,131
Mon.May.02.2022 14:33:39.534,13,-2.28289,MCU is reading properly,253,-12,G,49.17 Hz,3.55 Hz,0,323,131
Mon.May.02.2022 14:33:39.534,13,-2.25605,MCU is reading properly,253,-12,G,49.00 Hz,3.55 Hz,0,323,131
Mon.May.02.2022 14:33:39.534,13,-2.2301,MCU is reading properly,253,-12,G,49.02 Hz,3.55 Hz,0,323,131
Mon.May.02.2022 14:33:39.549,13,-2.20489,MCU is reading properly,253,-12,G,72.04 Hz,3.55 Hz,0,323,132
Mon.May.02.2022 14:33:39.549,13,-2.18055,MCU is reading properly,253,-12,G,67.56 Hz,3.55 Hz,0,323,132
Mon.May.02.2022 14:33:39.549,13,-2.15717,MCU is reading properly,253,-12,G,68.38 Hz,3.55 Hz,0,323,132
Mon.May.02.2022 14:33:39.549,13,-2.1347,MCU is reading properly,253,-12,G,68.23 Hz,3.55 Hz,0,323,132
Mon.May.02.2022 14:33:39.696,13,-2.1347,MCU is reading properly,253,-12,G,68.26 Hz,3.55 Hz,0,409,133
Mon.May.02.2022 14:33:39.696,13,-2.11316,MCU is reading properly,253,-12,G,47.32 Hz,3.55 Hz,0,409,133
Mon.May.02.2022 14:33:39.702,13,-2.09276,MCU is reading properly,253,-12,G,49.28 Hz,3.55 Hz,0,409,133
