DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:54.938,13,3.21779,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.938,13,3.25069,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.959,13,3.28313,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.076,13,3.31506,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.076,13,3.34644,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.076,13,3.37723,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.076,13,3.40739,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.076,13,3.40739,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.096,13,3.43687,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.096,13,3.46565,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.096,13,3.49368,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.096,13,3.52091,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:55.117,13,3.52091,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:55.117,13,3.54732,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:55.117,13,3.57287,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:55.227,13,3.59753,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:55.232,13,3.62125,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.232,13,3.64395,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.245,13,3.66559,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.245,13,3.66559,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.245,13,3.68629,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.261,13,3.70594,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2055
Mon.May.02.2022 16:02:55.271,13,3.72447,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2055
Mon.May.02.2022 16:02:55.271,13,3.74196,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2055
Mon.May.02.2022 16:02:55.271,13,3.75833,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2055
Mon.May.02.2022 16:02:55.397,13,3.77352,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:55.397,13,3.78755,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
